invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
1,122,989319-457,2018-04-08,3813.33,3813.33,0.00,3,2018-05-08,2018-05-07
2,123,263253241,2018-04-10,40.20,40.20,0.00,3,2018-05-10,2018-05-14
3,123,963253234,2018-04-13,138.75,138.75,0.00,3,2018-05-13,2018-05-09
4,123,2-000-2993,2018-04-16,144.70,144.70,0.00,3,2018-05-16,2018-05-12
5,123,963253251,2018-04-16,15.50,15.50,0.00,3,2018-05-16,2018-05-11
6,123,963253261,2018-04-16,42.75,42.75,0.00,3,2018-05-16,2018-05-21
7,123,963253237,2018-04-21,172.50,172.50,0.00,3,2018-05-21,2018-05-22
8,89,125520-1,2018-04-24,95.00,95.00,0.00,1,2018-05-04,2018-05-01
9,121,97/488,2018-04-24,601.95,601.95,0.00,3,2018-05-24,2018-05-21
10,123,263253250,2018-04-24,42.67,42.67,0.00,3,2018-05-24,2018-05-22
11,123,963253262,2018-04-25,42.50,42.50,0.00,3,2018-05-25,2018-05-20
12,96,I77271-O01,2018-04-26,662.00,662.00,0.00,2,2018-05-16,2018-05-13
13,95,111-92R-10096,2018-04-30,16.33,16.33,0.00,2,2018-05-20,2018-05-23
14,115,25022117,2018-05-01,6.00,6.00,0.00,4,2018-06-10,2018-06-10
15,48,P02-88D77S7,2018-05-03,856.92,856.92,0.00,3,2018-06-02,2018-05-30
16,97,21-4748363,2018-05-03,9.95,9.95,0.00,2,2018-05-23,2018-05-22
17,123,4-321-2596,2018-05-05,10.00,10.00,0.00,3,2018-06-04,2018-06-05
18,123,963253242,2018-05-06,104.00,104.00,0.00,3,2018-06-05,2018-06-05
19,34,QP58872,2018-05-07,116.54,116.54,0.00,1,2018-05-17,2018-05-19
20,115,24863706,2018-05-10,6.00,6.00,0.00,4,2018-06-19,2018-06-15
21,119,10843,2018-05-11,4901.26,4901.26,0.00,2,2018-05-31,2018-05-29
22,123,963253235,2018-05-11,108.25,108.25,0.00,3,2018-06-10,2018-06-09
23,97,21-4923721,2018-05-13,9.95,9.95,0.00,2,2018-06-02,2018-05-28
24,113,77290,2018-05-13,1750.00,1750.00,0.00,5,2018-07-02,2018-07-05
25,123,963253246,2018-05-13,129.00,129.00,0.00,3,2018-06-12,2018-06-09
26,123,4-342-8069,2018-05-14,10.00,10.00,0.00,3,2018-06-13,2018-06-13
27,88,972110,2018-05-15,207.78,207.78,0.00,1,2018-05-25,2018-05-27
28,123,963253263,2018-05-16,109.50,109.50,0.00,3,2018-06-15,2018-06-10
29,108,121897,2018-05-19,450.00,450.00,0.00,4,2018-06-28,2018-07-03
30,123,1-200-5164,2018-05-20,63.40,63.40,0.00,3,2018-06-19,2018-06-24
31,104,P02-3772,2018-05-21,7125.34,7125.34,0.00,3,2018-06-20,2018-06-24
32,121,97/486,2018-05-21,953.10,953.10,0.00,3,2018-06-20,2018-06-22
33,105,94007005,2018-05-23,220.00,220.00,0.00,3,2018-06-22,2018-06-26
34,123,963253232,2018-05-23,127.75,127.75,0.00,3,2018-06-22,2018-06-18
35,107,RTR-72-3662-X,2018-05-25,1600.00,1600.00,0.00,4,2018-07-04,2018-07-09
