vendor_name,total_payment
"Malloy Lithographing Inc",86069.22
"United Parcel Service",23177.96
"Data Reproductions Corp",21842.00
"Digital Dreamworks",7125.34
"Bertelsmann Industry Svcs. Inc",6940.25
"Zylka Design",6740.25
"Yesmed, Inc",4901.26
"Federal Express Corporation",4167.13
Computerworld,2433.00
"Cahners Publishing Company",2184.50
Pollstar,1750.00
"Franchise Tax Board",1600.00
Ingram,1575.00
"Dean Witter Reynolds",1367.50
IBM,1200.12
"Wang Laboratories, Inc.",936.93
"Fresno County Tax Collector",856.92
"Wells Fargo Bank",662.00
"Reiter's Scientific & Pro Books",600.00
"Gostanian General Building",450.00
"Wakefield Co",356.48
"Blue Cross",340.00
Postmaster,290.00
"Dristas Groom & McCormick",220.00
"Edward Data Services",207.78
"Cardinal Business Media, Inc.",175.00
"Pacific Bell",171.01
"Evans Executone Inc",95.00
"Roadway Package System, Inc",43.67
"Coffee Break Service",41.80
Compuserve,19.90
"Abbey Office Furnishings",17.50
"Suburban Propane",16.62
"Ford Motor Credit Company",0.00
