vendor_name,invoice_number,invoice_total,balance_due
"Blue Cross",547480102,224.00,224.00
"Cardinal Business Media, Inc.",134116,90.36,90.36
"Data Reproductions Corp",39104,85.31,85.31
"Federal Express Corporation",963253264,52.25,52.25
"Federal Express Corporation",263253268,59.97,59.97
"Federal Express Corporation",263253270,67.92,67.92
"Federal Express Corporation",263253273,30.75,30.75
"Ford Motor Credit Company",9982771,503.20,503.20
Ingram,31361833,579.42,579.42
"Malloy Lithographing Inc",P-0608,20551.18,19351.18
"Malloy Lithographing Inc",0-2436,10976.06,10976.06
